Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 55: {'node1': 8, 'node2': 9, 'LR': 2.4690647683340444e-05, 'DROPOUT': 0.3098431600618552, 'batch_size': 62, 'weight_decay': 4.700910690419158e-05, 'EARLY_STOP': 74}, Value: 8.967758536338806
Trial 56: {'node1': 11, 'node2': 9, 'LR': 3.202250418571714e-05, 'DROPOUT': 0.33085656079140924, 'batch_size': 56, 'weight_decay': 6.14066771402274e-05, 'EARLY_STOP': 89}, Value: 8.815645575523376
Trial 57: {'node1': 20, 'node2': 9, 'LR': 7.732577394953958e-05, 'DROPOUT': 0.2505907237248127, 'batch_size': 51, 'weight_decay': 0.00019091840308585906, 'EARLY_STOP': 118}, Value: 8.710097193717957
Trial 58: {'node1': 17, 'node2': 6, 'LR': 6.112882238386392e-05, 'DROPOUT': 0.37932275410795563, 'batch_size': 24, 'weight_decay': 9.610301190010983e-05, 'EARLY_STOP': 130}, Value: 7.802375422583686
Trial 59: {'node1': 40, 'node2': 8, 'LR': 4.605262896002242e-06, 'DROPOUT': 0.2034500617707636, 'batch_size': 63, 'weight_decay': 0.00014093902575782182, 'EARLY_STOP': 106}, Value: 9.45421040058136
Trial 60: {'node1': 15, 'node2': 10, 'LR': 4.8465749352738956e-05, 'DROPOUT': 0.12282937891840773, 'batch_size': 46, 'weight_decay': 0.00029755877808950164, 'EARLY_STOP': 77}, Value: 8.853148174285888
Trial 61: {'node1': 18, 'node2': 10, 'LR': 3.805222429909948e-05, 'DROPOUT': 0.2265465103848907, 'batch_size': 63, 'weight_decay': 7.442513191150138e-05, 'EARLY_STOP': 69}, Value: 9.32124149799347
Trial 62: {'node1': 17, 'node2': 10, 'LR': 7.364692410819908e-05, 'DROPOUT': 0.45993047754910155, 'batch_size': 64, 'weight_decay': 0.00010082357925369803, 'EARLY_STOP': 89}, Value: 7.215469241142273
Trial 63: {'node1': 13, 'node2': 9, 'LR': 4.491371421813289e-05, 'DROPOUT': 0.21807007979063553, 'batch_size': 60, 'weight_decay': 5.21174336646814e-05, 'EARLY_STOP': 62}, Value: 8.60718834400177
Trial 64: {'node1': 19, 'node2': 9, 'LR': 5.528048025895515e-05, 'DROPOUT': 0.23710156655118708, 'batch_size': 64, 'weight_decay': 8.511574711130896e-05, 'EARLY_STOP': 78}, Value: 7.204387724399567
Trial 65: {'node1': 16, 'node2': 10, 'LR': 9.07837908848911e-05, 'DROPOUT': 0.193205019519959, 'batch_size': 58, 'weight_decay': 0.00011129404173858033, 'EARLY_STOP': 87}, Value: 8.468132257461548
Trial 66: {'node1': 9, 'node2': 4, 'LR': 3.2471158698841985e-05, 'DROPOUT': 0.25374059693966483, 'batch_size': 39, 'weight_decay': 0.00020771852894053175, 'EARLY_STOP': 110}, Value: 7.512658397356669
Trial 67: {'node1': 21, 'node2': 9, 'LR': 3.925727663910956e-05, 'DROPOUT': 0.27514340999635567, 'batch_size': 62, 'weight_decay': 0.0001492265929425415, 'EARLY_STOP': 39}, Value: 9.002880215644836
Trial 68: {'node1': 13, 'node2': 8, 'LR': 4.651869161429925e-05, 'DROPOUT': 0.2945180883379417, 'batch_size': 60, 'weight_decay': 6.454209509809238e-05, 'EARLY_STOP': 96}, Value: 8.867131114006042
