Best hyperparameters: {'node1': 13, 'node2': 4, 'LR': 1.6399771164889416e-05, 'DROPOUT': 0.19616048495645938, 'batch_size': 64, 'weight_decay': 0.00098542294016685, 'EARLY_STOP': 39}
Best trial value: 6.949471473693848

All trials:
Trial 73: {'node1': 9, 'node2': 3, 'LR': 2.4865624722216964e-05, 'DROPOUT': 0.2793799086414411, 'batch_size': 62, 'weight_decay': 0.0007738589906225507, 'EARLY_STOP': 160}, Value: 8.773822665214539
Trial 74: {'node1': 12, 'node2': 3, 'LR': 2.2195022632836055e-05, 'DROPOUT': 0.32329416522674875, 'batch_size': 60, 'weight_decay': 0.0008477930333288777, 'EARLY_STOP': 133}, Value: 8.754904627799988
Trial 75: {'node1': 9, 'node2': 3, 'LR': 1.4427892310359981e-05, 'DROPOUT': 0.25401552196543503, 'batch_size': 63, 'weight_decay': 4.7819555637154326e-05, 'EARLY_STOP': 150}, Value: 9.289208173751831
Trial 76: {'node1': 13, 'node2': 3, 'LR': 1.9084262625408666e-05, 'DROPOUT': 0.2789510221453611, 'batch_size': 58, 'weight_decay': 2.5492779473819928e-05, 'EARLY_STOP': 121}, Value: 8.474660158157349
Trial 77: {'node1': 10, 'node2': 3, 'LR': 1.1111709213817027e-05, 'DROPOUT': 0.3141297728812222, 'batch_size': 64, 'weight_decay': 0.0008502240885839902, 'EARLY_STOP': 115}, Value: 7.1168612241744995
Trial 78: {'node1': 10, 'node2': 3, 'LR': 1.0266070913973706e-05, 'DROPOUT': 0.30223806931537384, 'batch_size': 64, 'weight_decay': 0.0008410248286346215, 'EARLY_STOP': 148}, Value: 7.280166745185852
Trial 79: {'node1': 10, 'node2': 3, 'LR': 9.920254238696398e-06, 'DROPOUT': 0.29375969319024414, 'batch_size': 61, 'weight_decay': 1.5663693814557434e-05, 'EARLY_STOP': 115}, Value: 9.00101912021637
Trial 80: {'node1': 8, 'node2': 3, 'LR': 2.95143553848383e-05, 'DROPOUT': 0.31803174557209996, 'batch_size': 63, 'weight_decay': 0.000469878299149807, 'EARLY_STOP': 133}, Value: 9.397329926490784
Trial 81: {'node1': 12, 'node2': 4, 'LR': 1.5808191823173782e-05, 'DROPOUT': 0.36938530221938454, 'batch_size': 62, 'weight_decay': 0.0007133412889306085, 'EARLY_STOP': 126}, Value: 8.929440379142761
Trial 82: {'node1': 14, 'node2': 3, 'LR': 1.9732091357576225e-05, 'DROPOUT': 0.24466445953146093, 'batch_size': 60, 'weight_decay': 3.107098780702598e-05, 'EARLY_STOP': 134}, Value: 8.94674527645111
Trial 83: {'node1': 12, 'node2': 4, 'LR': 2.415824094082548e-05, 'DROPOUT': 0.2594310581844459, 'batch_size': 64, 'weight_decay': 0.0008890795502686777, 'EARLY_STOP': 121}, Value: 6.993305742740631
Trial 84: {'node1': 12, 'node2': 4, 'LR': 1.7517949363178167e-05, 'DROPOUT': 0.26646653237043627, 'batch_size': 64, 'weight_decay': 0.0009279664453008588, 'EARLY_STOP': 121}, Value: 7.275062680244446
Trial 85: {'node1': 10, 'node2': 3, 'LR': 2.340909761710994e-05, 'DROPOUT': 0.20705495781616567, 'batch_size': 61, 'weight_decay': 0.0005624648733782009, 'EARLY_STOP': 112}, Value: 8.989425301551819
Trial 86: {'node1': 13, 'node2': 4, 'LR': 1.0953782009655241e-05, 'DROPOUT': 0.28966052608803206, 'batch_size': 59, 'weight_decay': 0.0008465971353746775, 'EARLY_STOP': 139}, Value: 8.542202234268188
Trial 87: {'node1': 11, 'node2': 3, 'LR': 1.3992073973285585e-05, 'DROPOUT': 0.3356952817909346, 'batch_size': 63, 'weight_decay': 0.000780797542108015, 'EARLY_STOP': 129}, Value: 9.35952079296112
Trial 88: {'node1': 9, 'node2': 3, 'LR': 3.303957425374547e-05, 'DROPOUT': 0.23528669826708634, 'batch_size': 58, 'weight_decay': 3.743116591428778e-05, 'EARLY_STOP': 121}, Value: 8.6073237657547
Trial 89: {'node1': 8, 'node2': 4, 'LR': 2.4041125235251723e-05, 'DROPOUT': 0.2646046209427043, 'batch_size': 28, 'weight_decay': 4.405391351808545e-05, 'EARLY_STOP': 145}, Value: 7.78464438021183
Trial 90: {'node1': 12, 'node2': 3, 'LR': 8.838037475680368e-06, 'DROPOUT': 0.316506391245826, 'batch_size': 63, 'weight_decay': 0.000926923432132944, 'EARLY_STOP': 155}, Value: 9.581796407699585
Trial 91: {'node1': 14, 'node2': 4, 'LR': 1.3171055967962891e-05, 'DROPOUT': 0.2518237549067116, 'batch_size': 64, 'weight_decay': 0.0007257543498023049, 'EARLY_STOP': 107}, Value: 7.071132481098175
Trial 92: {'node1': 14, 'node2': 4, 'LR': 1.263592986008987e-05, 'DROPOUT': 0.2201148230893494, 'batch_size': 64, 'weight_decay': 0.0005020789883834974, 'EARLY_STOP': 114}, Value: 7.1170985996723175
Trial 93: {'node1': 14, 'node2': 4, 'LR': 1.2906989876634394e-05, 'DROPOUT': 0.1880292707255874, 'batch_size': 62, 'weight_decay': 0.0005002908797351628, 'EARLY_STOP': 114}, Value: 8.917700171470642
Trial 94: {'node1': 13, 'node2': 4, 'LR': 1.1037369075621567e-05, 'DROPOUT': 0.22260939739759508, 'batch_size': 60, 'weight_decay': 0.0006685799871421448, 'EARLY_STOP': 118}, Value: 8.723351240158081
Trial 95: {'node1': 14, 'node2': 4, 'LR': 8.50625214339556e-06, 'DROPOUT': 0.2204042452610966, 'batch_size': 62, 'weight_decay': 0.0007132497834269426, 'EARLY_STOP': 172}, Value: 8.784793853759766
Trial 96: {'node1': 15, 'node2': 5, 'LR': 5.445938704133484e-06, 'DROPOUT': 0.24481154534542776, 'batch_size': 56, 'weight_decay': 0.000582514404948098, 'EARLY_STOP': 126}, Value: 8.877366065979004
Trial 97: {'node1': 13, 'node2': 4, 'LR': 1.6399771164889416e-05, 'DROPOUT': 0.19616048495645938, 'batch_size': 64, 'weight_decay': 0.00098542294016685, 'EARLY_STOP': 39}, Value: 6.949471473693848
Trial 98: {'node1': 11, 'node2': 4, 'LR': 1.619409473969783e-05, 'DROPOUT': 0.19885837565153172, 'batch_size': 64, 'weight_decay': 0.0009816244826267874, 'EARLY_STOP': 22}, Value: 7.084736168384552
Trial 99: {'node1': 13, 'node2': 4, 'LR': 1.3502549976283675e-05, 'DROPOUT': 0.20183943145900762, 'batch_size': 60, 'weight_decay': 0.0009752269587345052, 'EARLY_STOP': 25}, Value: 8.76748788356781
